Time,exchange_segment,sec_id,last_price
9:17:38,IDX_I,13,23662
9:17:39,IDX_I,13,23661.5
9:17:40,IDX_I,13,23660.85
9:17:41,IDX_I,13,23661.9
9:17:42,IDX_I,13,23664.7
9:17:43,IDX_I,13,23664.05
9:17:44,IDX_I,13,23664.25
9:17:45,IDX_I,13,23664.9
9:17:47,IDX_I,13,23664.2
9:17:48,IDX_I,13,23660.2
9:17:49,IDX_I,13,23660.35
9:17:50,IDX_I,13,23655.15
9:17:51,IDX_I,13,23656.2
9:17:52,IDX_I,13,23657.45
9:17:53,IDX_I,13,23655.5
9:17:54,IDX_I,13,23654.4
9:17:55,IDX_I,13,23654.85
9:17:56,IDX_I,13,23657.15
9:17:57,IDX_I,13,23655.1
9:17:58,IDX_I,13,23655.25
9:17:59,IDX_I,13,23656.55
9:18:00,IDX_I,13,23655.7
9:18:01,IDX_I,13,23655.45
9:18:02,IDX_I,13,23654.7
9:18:03,IDX_I,13,23656
9:18:04,IDX_I,13,23657.35
9:18:05,IDX_I,13,23658.85
9:18:07,IDX_I,13,23659.65
9:18:08,IDX_I,13,23656.25
9:18:09,IDX_I,13,23656.85
9:18:10,IDX_I,13,23658
9:18:11,IDX_I,13,23655.65
9:18:12,IDX_I,13,23660.25
9:18:13,IDX_I,13,23662.25
9:18:14,IDX_I,13,23660.85
9:18:15,IDX_I,13,23661.25
9:18:16,IDX_I,13,23659.55
9:18:17,IDX_I,13,23661.05
9:18:18,IDX_I,13,23663.3
9:18:19,IDX_I,13,23661.95
9:18:20,IDX_I,13,23658.45
9:18:21,IDX_I,13,23659.2
9:18:22,IDX_I,13,23658.85
9:18:23,IDX_I,13,23658.75
9:18:24,IDX_I,13,23658.35
9:18:25,IDX_I,13,23659.9
9:18:27,IDX_I,13,23660.6
9:18:28,IDX_I,13,23662.35
9:18:29,IDX_I,13,23660.95
9:18:30,IDX_I,13,23663.65
9:18:31,IDX_I,13,23662.75
9:18:32,IDX_I,13,23663.05
9:18:33,IDX_I,13,23664.45
